,Location,Count
586,bad trap,1
587,135 horne road,1
588,town lagoon nhulunbuy,13
589,central valley kapok pool,2
590,galuru creek,2
591,coomalie creek,4
592,black point boat ramp,1
593,manton dam (dead wood area),1
594,boral quarry,1
595,bow hunters road,1
596,pudakul cultural tours billabong,1
597,humpty doo,1
598,103 barr road marrakai,1
599,flora river,5
600,cullen bay,1
601,road in nhulunbuy,1
602,bad (barramundi adventures boat ramp middle arm,11
603,20 orchard road coconut grove,1
604,gunn point road,1
605,manton dam overflow near power station,1
606,finnis river slice of heaven near sandpalms t/o,2
607,barra farm h/springs? hicks rd culvert,1
608,beatrice hill/window on the wetlands culvert,1
609,manton overflow,5
610,manton dam (near boat ramp),2
611,cossack creek,2
612,90 dreamtime drive mcminns lagoon,1
613,wangi creek lower,1
614,wangi creek upper,1
615,daliwuy rec area,6
616,wathuway crossing,2
617,yirrakala beach,2
618,shady beach,2
619,dhuruputjpi,2
620,flora river np,1
621,flat rock fergusson river,3
622,75 forest drive h/doo,1
623,whitestone,3
624,manton dam overflow (manton creek),1
625,rum jungle  mine,1
626,bad middle arm,9
627,girraween lake,1
628,20 sandy place acacia,1
629,bowhunters road,2
630,central valley lnp,1
631,dundee lodge,1
632,surprise creek. lnp,1
633,town lagoon,48
634,34 meletona drive moulden,1
635,"sandy creek, casuarina",3
636,window on the wetlands/beatrice hill,1
637,noonamah elizabeth vally,1
638,racehorse creek,1
639,middle beach nuhlunbuy,1
640,shady beach yirrkala,1
641,ski beach near causeway,1
642,miles road batchelor,1
643,65 lagoon road knuckeys lagoon,1
644,faiths lagoon,5
645,sewer ponds,10
646,golf club,1
647,manangaymi,3
648,cullen bay ferry dock,1
649,window on the wetlands/beatrice hill/ar culvert,1
650,1051 mcmillans road,1
651,reichardts creek,1
652,central valley litchfield,1
653,myrmidon creek,1
654,litchfield safari camp,2
655,275 mcminns drive,1
656,lambells lagoon private property,1
657,goanna park (police junior rangers),3
658,"lower wangi, litchfield",1
659,core lithium mine observation hill,1
660,wangi plunge pool lnp,1
661,florence creek lnp,1
662,elizabeth river upstream,1
663,gateway shopping centre,1
664,manton creek power station,1
665,"sandy creek, lnp",1
666,wangi creek lnp,3
667,wirrwawuy,1
668,butterfly gorge,2
669,barra farm a.river,1
670,sandy creek casuarina,4
671,the arches douglas daly,1
672,munbilila (tomato island),1
673,marlows lagoon,1
674,410 horsenell road,1
675,fogg dam wall,2
676,1620 leoninio road,1
677,11 maranthes place,1
678,165 bronzewing ave,1
679,"lake deane, berry springs",1
680,wanderrie road,1
681,3 vista court leanyer,1
682,mount bundy,1
683,darwin river pub,1
684,57 corpus road humpty doo,1
685,jenkins road culvert,1
686,2 fella creek mandorah,1
687,fishermans wharf,1
688,jenko mango farm horsnell rd,1
689,berry creek mouth,1
690,leanyer sewage ponds,1
691,creek before saltwater arm (swimming spot),1
692,1620 lenino road,1
693,virginia road culvert,1
694,cullen bay ferry area,1
695,florence falls creek lnp,1
696,gunn point creek,1
697,acacia community,1
698,acacia caravan park,1
699,howard springs main pool,1
700,tortilla flats ringwood road,3
701,dundee beach creek,1
702,rosebery backyard pool,1
703,roystonea avenue culvert,1
704,dougls daly bridge,1
705,flat rock - fergusson river,1
706,gateway palmerston car park,1
707,5317 mcgorrie road marrakai,1
708,wangi falls plunge pool,2
709,goanna park police junior rangers,1
710,manton dam overflow,1
711,boat club beach,2
712,galupa,1
713,guminiya,1
714,lombuy,1
715,darbilla creek (milingimbi),2
716,robertson barracks,1
717,maningrida djelk rangers,2
718,berry creek upstream,1
719,barra farm near sand palms roadhouse,1
720,bynoe haven road,1
721,durack,1
722,mitchell creek roystonea avenue,1
723,humpty doo sewage ponds,1
724,wangi plunge pool,1
725,little mindil creek,1
726,wathuway (latram river),1
727,ringwood road tortilla flats,1
728,2 fella creek,2
729,berry springs,1
730,whitestone/ batchelor,1
731,groote eylandt,1
732,grrote eylandt,1
733,mandorah 2 fella swamp,1
734,3 tambling street durack,1
735,banambarrgna (rainbow cliffs),1
736,manangaymi rec area,2
737,10 phoebe court knuckey lagoon,1
738,east arm wharf,1
739,gun point culvert,1
740,250 meade road darwin river,1
741,burkes town bridge,1
742,15 horne road bees creek,1
743,"6 pack creek, dundee",2
744,buffalo creek boat ramp,1
745,surprise creek litchfield np,1
746,lake 1a durack lakes,1
